,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%, ,eFG%,TOV%,ORB%,FT/FGA, ,eFG%,TOV%,DRB%,FT/FGA,Season Year
0,Boston Celtics,29.0,16,3,.842,14,5,117.7,109.0,+8.7,91.9,.230,.480,.589,,.555,11.1,23.7,.187,,.528,11.3,80.6,.125,2024
1,Oklahoma City Thunder,23.0,6,4,.600,7,3,112.0,105.4,+6.6,94.3,.216,.396,.563,,.530,10.7,20.8,.172,,.501,14.4,72.9,.170,2024
2,Orlando Magic,24.1,3,4,.429,5,2,106.0,101.3,+4.7,94.6,.299,.396,.527,,.481,13.2,26.7,.231,,.493,14.0,80.2,.195,2024
3,Minnesota Timberwolves,27.0,9,7,.563,10,6,117.0,112.5,+4.5,91.8,.285,.393,.576,,.538,11.6,26.3,.221,,.538,12.8,78.4,.222,2024
4,Dallas Mavericks,25.8,13,9,.591,13,9,114.7,111.9,+2.8,92.4,.273,.398,.569,,.540,11.9,26.1,.196,,.515,11.1,76.3,.191,2024
5,Indiana Pacers,25.5,8,9,.471,9,8,120.1,119.0,+1.1,93.7,.184,.372,.596,,.576,11.2,25.4,.137,,.542,10.5,73.5,.210,2024
6,Philadelphia 76ers,29.6,2,4,.333,3,3,116.9,117.1,-0.2,90.9,.296,.428,.574,,.525,11.2,25.6,.248,,.507,9.8,67.8,.196,2024
7,Denver Nuggets,27.3,7,5,.583,5,7,110.6,112.8,-2.2,92.4,.196,.371,.552,,.519,11.5,22.8,.162,,.541,11.1,79.5,.188,2024
8,New York Knicks,26.4,7,6,.538,6,7,118.7,120.9,-2.2,91.9,.278,.362,.558,,.521,10.2,31.4,.210,,.567,11.2,74.2,.189,2024
9,Los Angeles Lakers,29.3,1,4,.200,2,3,111.7,114.0,-2.3,95.3,.222,.348,.573,,.544,10.6,17.5,.170,,.521,10.2,74.8,.149,2024
10,Milwaukee Bucks,31.1,2,4,.333,2,4,116.0,119.0,-3.0,93.3,.245,.365,.576,,.538,10.0,22.1,.201,,.556,9.1,76.2,.140,2024
11,Cleveland Cavaliers,26.2,5,7,.417,4,8,105.8,111.8,-6.0,92.7,.204,.394,.540,,.510,11.8,18.6,.155,,.518,12.4,73.7,.210,2024
12,Los Angeles Clippers,30.5,2,4,.333,2,4,110.3,117.7,-7.4,90.9,.264,.385,.547,,.506,12.8,26.9,.209,,.535,10.9,72.0,.231,2024
13,Phoenix Suns,30.3,0,4,.000,1,3,110.4,126.4,-16.0,93.5,.370,.343,.586,,.528,13.9,18.2,.307,,.548,12.3,64.7,.287,2024
14,New Orleans Pelicans,26.9,0,4,.000,0,4,94.9,111.7,-16.8,94.3,.189,.388,.489,,.448,16.4,25.7,.163,,.563,12.7,81.6,.159,2024
15,Miami Heat,26.3,1,4,.200,1,4,101.6,118.8,-17.2,90.8,.148,.419,.533,,.507,11.8,13.3,.121,,.566,11.0,77.3,.192,2024
16,Denver Nuggets,26.8,16,4,.800,15,5,119.5,110.8,+8.7,94.4,.257,.349,.593,,.557,10.8,25.2,.206,,.515,10.4,80.7,.198,2023
17,Boston Celtics,27.7,11,9,.550,12,8,117.2,113.7,+3.5,95.0,.234,.452,.594,,.560,11.6,23.0,.189,,.527,11.4,77.5,.185,2023
18,Los Angeles Lakers,27.8,8,8,.500,9,7,113.7,111.3,+2.4,98.1,.285,.347,.573,,.529,10.9,21.1,.230,,.513,11.4,74.0,.148,2023
19,Miami Heat,29.0,13,10,.565,13,10,114.1,112.5,+1.6,94.5,.228,.388,.567,,.531,10.9,21.5,.185,,.534,12.6,74.9,.213,2023
20,New York Knicks,24.7,6,5,.545,6,5,108.9,108.5,+0.4,91.9,.329,.402,.537,,.492,13.6,30.8,.246,,.502,12.2,76.8,.206,2023
21,Golden State Warriors,28.6,6,7,.462,6,7,111.9,112.1,-0.2,101.0,.210,.454,.553,,.525,12.3,26.6,.158,,.511,11.0,75.3,.222,2023
22,Philadelphia 76ers,28.3,7,4,.636,5,6,111.2,112.8,-1.6,91.4,.227,.404,.555,,.510,11.8,23.5,.201,,.540,11.4,81.4,.197,2023
23,Sacramento Kings,25.3,3,4,.429,3,4,110.7,112.8,-2.1,102.7,.269,.416,.532,,.493,11.7,28.9,.205,,.527,12.3,73.8,.205,2023
24,Phoenix Suns,29.1,6,5,.545,5,6,117.0,119.4,-2.4,97.6,.269,.297,.588,,.550,11.1,22.9,.215,,.543,11.1,73.4,.231,2023
25,Milwaukee Bucks,30.8,1,4,.200,2,3,114.0,118.9,-4.9,102.1,.231,.445,.582,,.559,12.4,22.5,.164,,.605,13.0,82.2,.171,2023
26,Atlanta Hawks,25.2,2,4,.333,2,4,115.0,120.3,-5.3,100.7,.176,.388,.558,,.529,11.0,25.1,.144,,.600,11.6,78.5,.144,2023
27,Cleveland Cavaliers,25.0,1,4,.200,2,3,103.4,109.3,-5.9,91.1,.237,.390,.544,,.513,15.4,23.2,.176,,.480,13.8,65.1,.229,2023
28,Los Angeles Clippers,30.2,1,4,.200,2,3,117.1,123.6,-6.5,98.7,.298,.381,.577,,.529,12.3,26.8,.246,,.570,10.9,72.7,.268,2023
29,Memphis Grizzlies,24.1,2,4,.333,2,4,104.0,111.4,-7.4,99.0,.201,.404,.504,,.465,11.1,25.6,.168,,.523,12.9,74.6,.191,2023
30,Minnesota Timberwolves,27.4,1,4,.200,1,4,109.7,118.9,-9.2,94.1,.293,.390,.565,,.525,12.1,19.5,.225,,.552,11.0,75.1,.196,2023
31,Brooklyn Nets,27.3,0,4,.000,1,3,103.1,115.6,-12.5,89.7,.236,.447,.542,,.513,12.6,14.0,.172,,.529,12.6,68.8,.155,2023
32,Chicago Bulls,,0,0,,,,,,,,,,,,,,,,,,,,,2023
33,New Orleans Pelicans,,0,0,,,,,,,,,,,,,,,,,,,,,2023
34,Oklahoma City Thunder,,0,0,,,,,,,,,,,,,,,,,,,,,2023
35,Toronto Raptors,,0,0,,,,,,,,,,,,,,,,,,,,,2023
