,Tm,G,MP,FG%,Dist., ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,0-3,3-10,10-16,16-3P,3P, ,2P,3P, ,%FGA,Md., ,%3PA,3P%, ,Att.,#,Season Year
0,Boston Celtics,19,4585,.469,16.0,,.520,.199,.187,.083,.051,.480,,.569,.770,.473,.398,.420,.360,,.506,.775,,.053,77,,.219,.371,,5,1,2024
1,Cleveland Cavaliers,12,2880,.449,14.1,,.606,.268,.196,.087,.056,.394,,.535,.679,.434,.471,.304,.315,,.545,.629,,.058,54,,.160,.206,,5,0,2024
2,Dallas Mavericks,22,5280,.468,14.2,,.602,.222,.221,.107,.051,.398,,.540,.723,.418,.439,.479,.360,,.481,.687,,.094,143,,.299,.404,,4,0,2024
3,Denver Nuggets,12,2880,.457,13.7,,.629,.250,.210,.084,.085,.371,,.530,.675,.451,.465,.368,.332,,.551,.881,,.071,64,,.269,.363,,5,1,2024
4,Indiana Pacers,17,4130,.507,14.2,,.628,.230,.202,.114,.082,.372,,.586,.702,.512,.561,.480,.372,,.599,.851,,.047,61,,.250,.400,,4,0,2024
5,Los Angeles Clippers,6,1440,.434,13.6,,.615,.221,.258,.087,.049,.385,,.472,.569,.402,.512,.333,.374,,.503,.690,,.067,25,,.284,.370,,0,0,2024
6,Los Angeles Lakers,5,1200,.492,13.0,,.652,.284,.222,.111,.035,.348,,.594,.717,.511,.468,.533,.299,,.530,.795,,.052,21,,.231,.294,,3,0,2024
7,Miami Heat,5,1200,.438,15.6,,.581,.116,.268,.138,.059,.419,,.517,.787,.505,.375,.375,.329,,.475,.857,,.025,9,,.194,.364,,1,0,2024
8,Milwaukee Bucks,6,1465,.473,15.1,,.635,.181,.185,.176,.093,.365,,.541,.660,.563,.407,.521,.354,,.489,.687,,.025,11,,.185,.343,,1,0,2024
9,Minnesota Timberwolves,16,3840,.468,13.6,,.607,.275,.191,.100,.041,.393,,.538,.652,.435,.451,.463,.359,,.545,.786,,.069,82,,.309,.379,,3,0,2024
10,New Orleans Pelicans,4,960,.396,14.2,,.612,.240,.175,.142,.056,.388,,.478,.593,.407,.375,.474,.267,,.455,.943,,.044,11,,.359,.234,,3,0,2024
11,New York Knicks,13,3145,.453,13.6,,.638,.257,.189,.129,.064,.362,,.497,.621,.380,.435,.466,.375,,.467,.800,,.053,50,,.235,.340,,4,1,2024
12,Oklahoma City Thunder,10,2400,.459,14.4,,.604,.240,.156,.140,.068,.396,,.527,.655,.373,.558,.362,.356,,.454,.884,,.055,41,,.312,.349,,3,0,2024
13,Orlando Magic,7,1680,.420,14.4,,.604,.243,.162,.136,.063,.396,,.493,.594,.368,.438,.541,.309,,.400,.903,,.043,20,,.249,.310,,0,0,2024
14,Philadelphia 76ers,6,1465,.444,15.0,,.572,.262,.140,.088,.082,.428,,.493,.588,.357,.432,.488,.379,,.496,.840,,.038,18,,.210,.467,,3,0,2024
15,Phoenix Suns,4,960,.465,13.5,,.657,.271,.162,.155,.069,.343,,.518,.695,.327,.489,.333,.365,,.485,.763,,.079,21,,.202,.333,,1,0,2024
16,Atlanta Hawks,6,1440,.457,14.6,,.612,.201,.220,.111,.081,.388,,.508,.638,.433,.406,.532,.375,,.472,.738,,.050,24,,.192,.419,,1,0,2023
17,Boston Celtics,20,4825,.478,15.1,,.548,.204,.225,.067,.053,.452,,.572,.718,.506,.491,.389,.364,,.491,.783,,.050,81,,.210,.426,,6,1,2023
18,Brooklyn Nets,4,960,.440,15.5,,.553,.188,.188,.129,.049,.447,,.532,.655,.534,.375,.467,.326,,.571,.822,,.061,17,,.239,.303,,1,0,2023
